"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","WHEAT AREA (1000 ha)","KHARIF SORGHUM AREA (1000 ha)","RABI SORGHUM AREA (1000 ha)","SORGHUM AREA (1000 ha)","PEARL MILLET AREA (1000 ha)","MAIZE AREA (1000 ha)","FINGER MILLET AREA (1000 ha)","BARLEY AREA (1000 ha)","CHICKPEA AREA (1000 ha)","PIGEONPEA AREA (1000 ha)","MINOR PULSES AREA (1000 ha)","GROUNDNUT AREA (1000 ha)","SESAMUM AREA (1000 ha)","RAPESEED AND MUSTARD AREA (1000 ha)","SAFFLOWER AREA (1000 ha)","CASTOR AREA (1000 ha)","LINSEED AREA (1000 ha)","SUNFLOWER AREA (1000 ha)","SOYABEAN AREA (1000 ha)","OILSEEDS AREA (1000 ha)","SUGARCANE AREA (1000 ha)","COTTON AREA (1000 ha)","FRUITS AREA (1000 ha)","VEGETABLES AREA (1000 ha)","FRUITS AND VEGETABLES AREA (1000 ha)","POTATOES AREA (1000 ha)","ONION AREA (1000 ha)","FODDER AREA (1000 ha)"
"213","2017","12","Uttar Pradesh","Jalaun","0.27","160.36","6.86","0.0","6.86","15.03","0.02","0.0","7.55","13.72","3.39","114.67","0.01","30.37","15.57","0.0","0.0","0.09","0.0","0.04","0.0","1.04","0.0","0.0","0.0","0.0","0.45","0.44","0.0"
"214","2017","12","Uttar Pradesh","Hamirpur","0.08","161.51","18.04","0.0","18.04","0.65","0.43","0.0","6.9","119.83","18.27","170.04","5.99","53.33","23.24","0.0","0.0","9.29","0.0","0.24","0.0","8.73","0.0","0.0","0.0","0.0","0.2","0.16","0.0"
"215","2017","12","Uttar Pradesh","Banda","60.72","208.72","40.52","0.0","40.52","13.44","0.02","0.0","5.75","142.53","33.86","61.7","0.41","12.31","5.26","0.0","0.0","3.31","0.0","0.09","0.0","0.65","0.0","0.0","0.0","0.0","0.38","0.39","0.0"
"216","2017","12","Uttar Pradesh","Varanasi","194.46","230.27","4.69","0.0","4.69","18.95","3.4","0.0","0.96","3.59","11.08","19.37","0.0","0.56","1.22","0.0","0.0","0.45","0.0","0.0","0.0","4.36","0.0","0.0","0.0","0.0","5.11","0.54","0.0"
"217","2017","12","Uttar Pradesh","Mirzpur","123.58","148.82","5.11","0.0","5.11","9.88","15.28","0.0","11.22","25.1","22.59","25.29","2.66","6.22","5.16","0.0","0.0","8.39","0.0","0.0","0.0","1.77","0.0","0.0","0.0","0.0","3.07","1.17","0.0"
"218","2017","12","Uttar Pradesh","Jaunpur","157.28","207.67","2.96","0.0","2.96","4.94","43.35","0.0","0.56","5.05","7.3","12.09","0.0","0.56","3.16","0.0","0.0","0.23","0.0","0.0","0.0","9.52","0.0","0.0","0.0","0.0","19.47","0.99","0.0"
"219","2017","12","Uttar Pradesh","Ghazipur","154.82","166.21","2.69","0.0","2.69","14.76","0.81","0.0","6.93","4.26","5.39","16.78","0.05","0.05","0.45","0.0","0.0","0.01","0.03","0.0","0.0","7.31","0.0","0.0","0.0","0.0","10.95","0.65","0.0"
"220","2017","12","Uttar Pradesh","Ballia","115.87","136.89","1.76","0.0","1.76","1.98","31.76","0.0","2.46","3.34","6.7","22.39","0.24","0.0","0.92","0.0","0.0","0.0","0.0","0.0","0.0","6.48","0.0","0.0","0.0","0.0","8.32","0.84","0.0"
"221","2017","12","Uttar Pradesh","Gorakhpur","319.73","337.69","0.0","0.0","0.0","0.01","3.06","0.0","1.87","0.35","3.33","14.49","4.24","0.39","7.14","0.0","0.0","0.25","0.0","0.0","0.0","19.98","0.0","0.0","0.0","0.0","7.07","0.54","0.0"
"222","2017","12","Uttar Pradesh","Deoria","255.14","271.13","0.04","0.0","0.04","0.25","15.86","0.0","0.39","0.11","5.35","6.81","2.37","0.19","11.83","0.0","0.0","0.0","0.0","0.0","0.0","79.11","0.0","0.0","0.0","0.0","3.13","0.27","0.0"
"223","2017","12","Uttar Pradesh","Basti","370.85","368.44","0.0","0.0","0.0","0.0","4.89","0.0","0.5","1.34","8.32","19.53","1.4","0.27","8.33","0.0","0.0","1.39","0.0","0.0","0.0","45.96","0.0","0.0","0.0","0.0","6.47","0.9","0.0"
"224","2017","12","Uttar Pradesh","Azamgarh","307.36","330.47","0.03","0.0","0.03","0.16","6.44","0.0","3.26","4.65","6.94","7.88","0.5","0.09","2.48","0.0","0.0","0.03","0.02","0.0","0.0","25.56","0.0","0.0","0.0","0.0","6.06","1.09","0.0"
"225","2017","12","Uttar Pradesh","Lucknow","51.62","81.59","2.1","0.0","2.1","0.8","1.62","0.0","0.22","0.93","0.75","9.91","0.09","0.84","4.09","0.0","0.0","0.0","0.0","0.0","0.0","0.27","0.0","0.0","0.0","0.0","4.41","0.08","0.0"
