Site Name,X-coordinate,Y-coordinate
Wilnecote Landfill Site,421500.0,300500.0
Pebsham,577500.0,109000.0
Redhill 2,529500.0,150100.0
Shakespeare Farm Landfill Site,581500.0,177100.0
Harn Hill Quarry Landfill Site,359000.0,188000.0
Beacon Hill,398000.0,95000.0
Patteson Court Landfill Site,529300.0,151000.0
"Rainham Landfill Scheme, Phase I",552400.0,179100.0
South Cathkin Landfill Site,262500.0,657500.0
Connon Bridge Landfill Gas Project,219000.0,62500.0
Mayton Wood Landfill Site,624600.0,320800.0
Blackborough End Landfill Site,567200.0,314600.0
Whinney Hill Waste Disposal Site,375600.0,430300.0
Queen's Park Road Energy,385095.0,433435.0
Chelson Meadow 2,249610.0,54475.0
Costessey Landfill Gas Project 2,616150.0,310750.0
Summerston Landfill,258000.0,671700.0
Barling Hall Farm,593600.0,190500.0
Bellhouse South,594900.0,222200.0
Mucking Gas 3 Landfill Scheme,568400.0,180000.0
Sidegate Lane Landfill Site,491500.0,270300.0
Mucking Gas 2 Landfill Scheme,568400.0,180000.0
Heathfield 'C' Landfill Scheme,286100.0,76200.0
Lincoln Landfill Scheme,493000.0,367600.0
Bretby Power,428100.0,321100.0
Bootham Lane Landfill,465700.0,410800.0
Peckfield Quarry Landfill Scheme,443500.0,432000.0
Horncliffe Quarry,380634.0,420905.0
Dunlop Landfill Gas Scheme,244600.0,651500.0
Bonnyrigg,329700.0,666500.0
Salt Ayre,345500.0,462500.0
Mountsorrel Landfill Site,457100.0,315000.0
Fairoak Landfill,450495.0,118446.0
Boston Landfill Scheme,534800.0,341300.0
Trumps Farm Landfill Scheme,499400.0,166100.0
High Heavens Landfill,483300.0,189800.0
Docksway Landfill Scheme,330500.0,185300.0
Cranford,493100.0,276200.0
Ling Hall 1,444900.0,272800.0
Wapsey's Wood III,497400.0,188800.0
Greengairs Landfill Scheme Phase V,278500.0,669700.0
Seamer Carr,503300.0,482400.0
Harewood Whin Landfill Site,454400.0,451600.0
Lochhead Landfill Scheme,348536.0,750898.0
Staveley Power,442700.0,375400.0
Albury Landfill,505500.0,148300.0
Trecatti,311626.0,205713.0
Gallymoor Landfill,483900.0,439600.0
Meadow Hall Power,439500.0,392300.0
Craigahulliar Landfill Gas,106712.0,598842.0
Arlesey Landfill Gas (Extension),518832.0,235251.0
Wapsey's Wood,497342.0,188862.0
Standen Heath,445337.0,88184.0
Risley,366720.0,393546.0
Hitchin,517000.0,232300.0
Pebsham (Extension),577500.0,109000.0
Arden Quarry Landfill,402220.0,386100.0
Capel Landfill,517283.0,139031.0
Folly Lane,597460.0,317895.0
Auchencarroch Landfill Extension,242150.0,681150.0
Rigby Landfill,359222.0,412764.0
Stoneyhill Landfill Site,407757.0,840972.0
Norlands Lane Landfill Site (Extension),503448.0,169106.0
Roxwell Landfill Scheme,566100.0,209900.0
Kirkless Power,361000.0,405800.0
Dunbar Power Plant,371365.0,675845.0
Dunbar,371600.0,675600.0
Whitehead Landfill,370300.0,399550.0
Colnbrook Landfill,502300.0,177700.0
Dorket Head,459500.0,347500.0
Drummond Moor Landfill,332700.0,665980.0
"Netley Landfill Site, Hampshire (Extension)",446700.0,110200.0
Pitsea Landfill Scheme,574200.0,185000.0
PwllfaWatkin Landfill Gas Site,271645.0,205725.0
Scorton,425500.0,500500.0
Dudley EfW,394300.0,289100.0
Wolverhampton EfW,391628.0,299909.0
Stoke-on-Trent EfW,387800.0,343500.0
Tyseley ERF,410934.0,284556.0
Haverton Hill Incinerator,447900.0,522400.0
"Fibrepower, Slough",495300.0,181500.0
Chineham ERF,467200.0,155200.0
Marchwood ERF,438400.0,111100.0
Vine Street EfW,414800.0,417800.0
Newlincs EfW,521604.0,413270.0
Trackwork Limited (EfW),461772.0,409433.0
Riverside Resource Recovery Facility (RRRF),547200.0,176500.0
Lakeside EfW,502500.0,177500.0
Baldovie,344500.0,733100.0
Allington EFW,573764.0,157097.0
Coventry,434700.0,277700.0
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),386300.0,397500.0
Bolton TRF,373100.0,407900.0
North Quay ERF,547700.0,101700.0
Sheffield ERF,436800.0,387900.0
Peterborough EfW,521658.0,299003.0
Battlefield EfW,351002.0,316351.0
Four Ashes EfW,392139.0,308482.0
Salford Refuse Treatment Plant (AD),381036.0,399888.0
Cornwall ERC,194637.0,56502.0
Avonmouth,352153.0,179196.0
Severnside Energy Recovery Centre,354653.0,182612.0
Energy Works (Hull),510170.0,430424.0
Trident Park,320179.0,175481.0
Lincoln EFW,493142.0,367809.0
North East Energy Recovery Centre (adjacent to Teesside EfW),448016.0,522664.0
Glasgow Renewable Energy and Recycling Centre (ACT),259509.0,662366.0
Wilton 11 EfW,458500.0,519500.0
Runcorn EfW,349985.0,381240.0
Cross Green ERF,432800.0,432549.0
Exeter EfW,292605.0,90422.0
North Yard EfW,244810.0,57524.0
Beddington EfW,529039.0,166236.0
K3 CHP Facility (Kemsley EfW),592144.0,166704.0
Oldbury,398141.0,290999.0
Allerton Waste Recovery Park (EfW),440675.0,459799.0
Ardley EfW,453074.0,220584.0
Greatmoor EfW,468957.0,224446.0
